Voltage; Resistencia; CO2 PPM;CO2 PPM1 ; RH; Temp
0,34194;13622,64151;1001,70912;13157,97812;49,82719;24,27616
0,34194;13622,64151;1001,70912;13157,97812;49,80078;24,26949
0,34194;13622,64151;1001,70912;13157,97812;49,79982;24,27177
0,34194;13622,64151;1001,70912;13157,97812;49,78027;24,27826
0,34194;13622,64151;1001,70912;13157,97812;49,76625;24,28131
0,34194;13622,64151;1001,70912;13157,97812;49,77770;24,29199
0,34194;13622,64151;1001,70912;13157,97812;49,77446;24,28513
0,34194;13622,64151;1001,70912;13157,97812;49,81508;24,28284
0,34194;13622,64151;1001,70912;13157,97812;49,83311;24,28246
0,34194;13622,64151;1001,70912;13157,97812;49,85924;24,28741
0,34194;13622,64151;1001,70912;13157,97812;49,73679;24,28131
0,34194;13622,64151;1001,70912;13157,97812;49,80822;24,28551
0,34194;13622,64151;1001,70912;13157,97812;49,76578;24,28169
0,34194;13622,64151;1001,70912;13157,97812;49,73211;24,28818
0,34194;13622,64151;1001,70912;13157,97812;49,74375;24,29333
0,34194;13622,64151;1001,70912;13157,97812;49,72668;24,28551
0,34194;13622,64151;1001,70912;13157,97812;49,71552;24,27597
0,34194;13622,64151;1001,70912;13157,97812;49,72286;24,27864
0,34194;13622,64151;1001,70912;13157,97812;49,72610;24,28036
0,34194;13622,64151;1001,70912;13157,97812;49,75548;24,28036
0,34194;13622,64151;1001,70912;13157,97812;49,75824;24,28684
0,34194;13622,64151;1001,70912;13157,97812;49,81337;24,27940
0,34194;13622,64151;1001,70912;13157,97812;49,82548;24,26491
0,34194;13622,64151;1001,70912;13157,97812;49,82090;24,25652
0,34194;13622,64151;1001,70912;13157,97812;49,72916;24,25404
0,34194;13622,64151;1001,70912;13157,97812;49,78752;24,25537
0,34194;13622,64151;1001,70912;13157,97812;49,76034;24,25976
0,34194;13622,64151;1001,70912;13157,97812;49,74585;24,26567
0,34194;13622,64151;1001,70912;13157,97812;49,76072;24,26434
0,34194;13622,64151;1001,70912;13157,97812;49,73192;24,26434
0,34194;13622,64151;1001,70912;13157,97812;49,70903;24,25480
0,34194;13622,64151;1001,70912;13157,97812;49,63541;24,25900
0,34194;13622,64151;1001,70912;13157,97812;49,68729;24,25804
0,34194;13622,64151;1001,70912;13157,97812;49,68815;24,25938
0,34194;13622,64151;1001,70912;13157,97812;49,69301;24,26052
0,34194;13622,64151;1001,70912;13157,97812;49,71123;24,25575
0,34194;13622,64151;1001,70912;13157,97812;49,67890;24,25938
0,34194;13622,64151;1001,70912;13157,97812;49,65801;24,25232
0,33871;13761,90476;973,89064;12384,00741;49,63284;24,24011
0,33871;13761,90476;973,89064;12384,00741;49,64523;24,23630
0,33871;13761,90476;973,89064;12384,00741;49,65210;24,23706
0,33871;13761,90476;973,89064;12384,00741;49,64151;24,24393
0,33871;13761,90476;973,89064;12384,00741;49,65353;24,23973
0,33871;13761,90476;973,89064;12384,00741;49,77551;24,21570
0,33871;13761,90476;973,89064;12384,00741;49,78018;24,20025
0,33871;13761,90476;973,89064;12384,00741;49,81394;24,19968
0,33548;13903,84615;946,60817;11649,29622;49,81165;24,18900
0,33871;13761,90476;973,89064;12384,00741;49,77751;24,18976
0,33871;13761,90476;973,89064;12384,00741;49,73373;24,19014
0,33548;13903,84615;946,60817;11649,29622;49,70322;24,18880
0,33548;13903,84615;946,60817;11649,29622;49,70970;24,18900
0,33548;13903,84615;946,60817;11649,29622;49,66688;24,19224
0,33548;13903,84615;946,60817;11649,29622;49,65067;24,19910
0,33548;13903,84615;946,60817;11649,29622;49,64428;24,20807
0,33548;13903,84615;946,60817;11649,29622;49,62711;24,21780
0,33548;13903,84615;946,60817;11649,29622;49,61853;24,21799
0,33548;13903,84615;946,60817;11649,29622;49,61252;24,21570
0,33548;13903,84615;946,60817;11649,29622;49,56684;24,20979
0,33548;13903,84615;946,60817;11649,29622;49,59183;24,20616
0,33548;13903,84615;946,60817;11649,29622;49,54691;24,20864
0,33548;13903,84615;946,60817;11649,29622;49,59631;24,19643
0,33548;13903,84615;946,60817;11649,29622;49,63484;24,19109
0,33548;13903,84615;946,60817;11649,29622;49,64542;24,19071
0,33548;13903,84615;946,60817;11649,29622;49,61662;24,19739
0,33548;13903,84615;946,60817;11649,29622;49,59946;24,20273
0,33548;13903,84615;946,60817;11649,29622;49,58677;24,20368
0,33548;13903,84615;946,60817;11649,29622;49,61605;24,20998
0,33548;13903,84615;946,60817;11649,29622;49,60032;24,19701
0,33548;13903,84615;946,60817;11649,29622;49,61863;24,19395
0,33548;13903,84615;946,60817;11649,29622;49,61967;24,20025
0,33548;13903,84615;946,60817;11649,29622;49,59326;24,20521
0,33548;13903,84615;946,60817;11649,29622;49,56217;24,20521
0,33548;13903,84615;946,60817;11649,29622;49,58296;24,21112
0,33548;13903,84615;946,60817;11649,29622;49,57342;24,21341
0,33548;13903,84615;946,60817;11649,29622;49,57170;24,21398
0,33548;13903,84615;946,60817;11649,29622;49,60957;24,20521
0,33548;13903,84615;946,60817;11649,29622;49,54185;24,18728
0,33548;13903,84615;946,60817;11649,29622;49,57762;24,18423
0,33548;13903,84615;946,60817;11649,29622;49,57790;24,17927
0,33548;13903,84615;946,60817;11649,29622;49,58582;24,18728
0,33548;13903,84615;946,60817;11649,29622;49,52726;24,18633
0,33226;14048,54369;919,85567;10952,16751;49,56684;24,19376
0,33226;14048,54369;919,85567;10952,16751;49,55587;24,19395
0,33548;13903,84615;946,60817;11649,29622;49,54329;24,18938
0,33548;13903,84615;946,60817;11649,29622;49,55940;24,19357
0,33548;13903,84615;946,60817;11649,29622;49,57876;24,19777
0,33548;13903,84615;946,60817;11649,29622;49,57895;24,20273
0,33548;13903,84615;946,60817;11649,29622;49,58887;24,20311
0,33548;13903,84615;946,60817;11649,29622;49,57952;24,20807
0,33548;13903,84615;946,60817;11649,29622;49,46260;24,20864
0,33548;13903,84615;946,60817;11649,29622;49,54624;24,21799
0,33226;14048,54369;919,85567;10952,16751;49,47100;24,21608
0,33226;14048,54369;919,85567;10952,16751;49,51267;24,20692
0,33226;14048,54369;919,85567;10952,16751;49,48988;24,20692
0,33226;14048,54369;919,85567;10952,16751;49,49007;24,20826
0,33226;14048,54369;919,85567;10952,16751;49,50752;24,20540
0,33226;14048,54369;919,85567;10952,16751;49,46146;24,20940
0,33226;14048,54369;919,85567;10952,16751;49,46995;24,21036
0,33226;14048,54369;919,85567;10952,16751;49,45002;24,21150
0,33226;14048,54369;919,85567;10952,16751;49,42522;24,21398
0,33226;14048,54369;919,85567;10952,16751;49,40338;24,20483
0,33226;14048,54369;919,85567;10952,16751;49,42408;24,19777
0,33226;14048,54369;919,85567;10952,16751;49,43151;24,19510
0,33226;14048,54369;919,85567;10952,16751;49,43724;24,19186
0,33226;14048,54369;919,85567;10952,16751;49,46070;24,19319
0,33226;14048,54369;919,85567;10952,16751;49,41425;24,19701
0,33226;14048,54369;919,85567;10952,16751;49,39156;24,19510
0,33226;14048,54369;919,85567;10952,16751;49,39051;24,20101
0,33226;14048,54369;919,85567;10952,16751;49,40062;24,19739
